text,label
"A few weeks ago I got ill, very ill.",1
I received my port about 10 days ago.,0
a very special lady is having a very special day!,0
I was diagnosed with Stage IV Lung Cancer and have pleural effusion too.,0
He was in a coma for a month and a half.,1
I'm posting this list by my computer right now!,0
"Unfortunately, he was not eligible for a clinical trial that is being offered at cooper, they combine standard chemo with Avastin (sp??)",0
"Judy, please post and tell us what you find out at your doctor's.",0
I've decided with a double mastectomy with immediate recontruction.,0
I hate the taste of chocolate right now.,0
I have to apologize for seeming so abrasive in my previous post.,0
It was cancer and they removed almost all of my left lung.,0
I would suggest giving your self 15 minutes or an hour a day to cry your heart out.,2
I think this is the best posting on this site that I have ever read too!,0
"Curious, my sister was left handed and had CA on the left side......",0
It's so sad to know that my husband dedicated 42 years of his life to NASA and this is the insurance they give him?,1
Tumors have shrunk or been stable now for more than two years.,0
"I am HAPPY and RELIEVED for you, dear!",2
I will be following up with her if anything changes.,0
Don't blame you for your first thought though.,2
"Hi, Does it feel like you are wearing a bra even when you are not?",0
I'm trying my best to stay off of the grim sites.,0
Is lymphedema common with the removal of lymph nodes?,0
My last CT scan showed very small tumors left in my upper left lung & adrenal gland .,0
Phil noted that most insurance companies won't readily pay for the test.,0
I set the record for having 4 biopsies at once in their center!,0
"In 2001, at age 67, I was diagnosed nsclc, stage 3a, inoperable/incurable.",1
"OMG We are all on the same page, LOL",2
I've had my left upper lung lobe removed and am now going through chemo.,0
Good Morning from cooold NH :) Happy to hear that you are doing better and your disability was approved.,2
My dad is in southern California receiving treatment from a local medical group.,0
He has been very sick on and off.,1
I am in bringing California red wine for celebration,0
You have had very good news I wish you the very best,2
"Had port placed this morning,was scared but doing ok.",1
It was very uncomfortable to wear any bra (I don't wear underwire so can't speak to that specifically) by the end of my treatment.,1
Please post to introduce yourself in a separate topic.,0
The more that report it directly to them I would think the more they would get busy doing something about it!,0
his liver enzymes are elevated also in lab work !,0
"He was forced to rent a room from his ex-wife, in the house he purchased over twenty years ago.",0
Let me know if I can give you any info on my supplements.,0
"I am sorry, But I meant to ask, Where is chat, I can't find a link to it.",0
But thought since you have Colon ca on your Dad's side you should know they are related to breast ca.,0
"His cancer has is in the right lobe, left lobe lymph nodes, liver and bones of the lower back and hip.",0
He quit breathing that night and was put on a respirator and died 10 hrs later because his body completely shutdown.,1
"If they get better, they can opt out of the program.",0
i was not offered any other rads options.,0
I'm wondering how long others have waited to have the repeat PET scan following treatment.,0
I'm glad you posted and that it sounds like you're coping with the new drugs.,2
I tried to reply but the site is being screwy...,0
You have some wonderful reasons to fight this awful dx.,2
"I was in IV Stage Cancer when I finally said to myself, after layoffs at work and so on!",1
Just received my (free) second issue of CURE magazine and there are several excellent and hopeful articles on lung cancer.,0
"Of course WE find you beautiful, gorgeous, whatever adjective you want/need~ but we never see you NAKED!!!",0
Your eyelashes are very nice and natural looking.,2
I have metastatic cancer to the lungs and have a prognosis of months.,0
Residues left on skin can cause the skin to burn.,0
So thank you and enjoy the holiday as best you can with those you love.,2
I have COPD and have beed advised I need a left lung lobe removal because of 2 small cancerous nodules.,0
"We may look ok, and our voices may be strong, but our bodies know what this does to us.",1
I'm the one nibbling on that chocolate bunny!,0
I've been taking it for a month or so and my joints hurt really bad.,1
The reason I am writing is due to the fact that my doctors act as though this is not real likely.,1
It's great that your doctor is  being cautious and doing the ultrasound.,0
I've met lots of patients with lots of different things happening to them.,2
I hope it goes well for you both.,2
So I sufferd terrible last tx and I don't want to go back.,1
I know that I need to take this medication.,0
Stage III C at the age of 46.,0
"Worst of all, these messed up cells can break off and plant themselves in other places and start dividing there.",1
"It took me a few months after surgery to get to 2300 steady, so keep on keeping on.",2
"My husband was also diagnosed with Stage 4 lung cancer, malignant pleura effusion, with mets to lymph nodes and liver.",0
My doctor found a relatively large lump in my left breast.,0
but I can't imagine what I would do without him.,1
"It will serve you better NOT to own cancer, for example it's ""cancer"" or ""the cancer"" but not ""my cancer.""",2
This has been a very hard subject since being diagnosed initially at 44.,1
I explained that my own self esteem would be challenged enough without seeing him looking at what I no longer had.,1
She had half estrogen+ tumor other  half neg-.,0
We sure do miss some of our oldies here.,1
I kept my eyebrows and eyelashes until just last week.,1
"Sorry your mother has another infection to deal with, hoping they are able to clear it up quickly and proceed with her surgery.",2
She sounds very sweet and loves her mama very much.,2
(he quit smoking about 18 years ago) He has gone through 2 rounds of chemo.,0
I am finished with radiation treatment and can swear by Miaderm As the best.,0
I came to this site tonight looking for some hope.,1
You just cannot think about cancer every second and work!,1
He received 1 dose of Taxol but had a reaction so he only received the carbo.,0
I can do 27mins now and can't wait for this year's race this Sept. Chemo and radiation are a distant memory.,0
my husband is also 47 we were hoping for the immuene trials for small cell.,1
although I noticed the hair on my legs is growing a bit faster.,0
I have talked to a surgeon 2 different times.,0
"We achieved remission back in October 2016, five months after his diagnosis in May.",0
I decided to come here so you would all know I did not disapear!,1
"Also, check with the oncologists who monitor the cancergrace.org site.",0
I had a shower and a two hour nap this afternoon in my own bed.,0
I know it is a hard road for you and hope for a positive response from this warden.,2
"Wow, I was so apprehensive just an hour earlier that day.",1
I am worried about going back to work though.,1
Just wanted to add my welcome to this wonderful site of awesome sisters.,0
Everyone here is really great and I look forward to hearing from everyone and getting to know you all.,0
There was NO cancer left after my chemo!!!!!,0
My breast surgeon also did not want to do a PET since they pick up too many hot spots.,0
This is a nasty disease and we can only hope and pray.,1
She had CyberKnife done and was told in December that the tumors were shrinking and cells were dying.,0
Several of those are on the recommended list to help FIGHT cancer!,1
Now with no estrogen in my body the hot flashes are much worse so do I blame Arimidex??,1
"And I pray for strength & healing for you & him, in the name of JESUS, Amen.",2
"This includes age, other health problems, er status, tumor grade, tumor size, node involvement, hormone therapy, and chemo regimen.",0
Appears your mom is a strong fighting woman and this is real good .,2
"I don't have any thing to add, only more questions!",1
"I know chemo is horrible, but, you are almost done with it forever!",2
I thank you all very much for your sharing your stories and for your input here.,0
I've had radiation 5 years ago so i know what to expect but chemo is new to me and I am scard.,1
The wait was killing me and then I get to the Dr. and they forget me.,1
"She thought that using lots of sunscreen, way more than usual, would prevent it.",0
I wanted to thank you all for all your kindness and prayers through out this battle.,0
Those words do something negatively to my body.,1
"Then my intestine was so damaged, I got severe diarrhea.",0
At that time they did a chest xray & ct scan & said I had cancer in my right lung.,0
"Add to that the fact that I just miss him, my best friend for the past 30 years, and that's lonely.",1
I've gotten great suggestions from this group and am hoping for more.,0
I was dx with Adenocarcinoma and had a lobectomy of my right upper lobe.,0
"After a couple of scans and a biospy, she beagn treat in early April.",0
Also very happy that he is eating now and wow seeing his patients.,0
"If these doctors are so uncaring, do you not have other choices.",0
Do you know of any insurance companies that work with survivors?,0
"The tumor was on left lung, in lymph nodes, in lung and wrapped around aorta artery.",0
Handled rads fine although most of my energy left me.,1
"wow full plate, good luck, good thoughts coming your way",2
"Moderation is the key (not that I follow that, I eat whatever the heck I want to eat :-)).",0
My husband was recently diagnosed with bladder and lung cancer.,0
"And, as was already said, it seems like you DO care, it's just a matter of timing!!",2
"I had a lumpectomy, but, wanted to wish you good luck in your decision!",2
A social worker also made a visit today.,0
My tongue feels like a cat tongue and my lips are dry.,1
I've been taking it for 16 months so far with no side effects of which I'm aware.,0
It cost me $5.00 for a 30 day supply through my Kaiser Health Care plan.,0
"Hi, I had my upper left lung removed 9/04.",0
Taxol was not as tuff just sooo long.,1
I didn't post before because this isn't about my breast cancer.,0
By week five he was in the hospital with a blood clot in one lung and a pleural effusion.,0
"It is probably the best thing for you, have you read some of the new letters on the net?",0
I also have swelling/fluid in my left armpit.,0
Being in tune with what you experience enables you to advocate for yourself.,2
How insensitive of her to ask all those personal questions.,2
"Thank you Rena, I'm glad you have found strength and wisdom in all this.",2
I can't imagine having rads on your lip and chin.,0
"Saline spray really helps with a dry nose, so, it might help with the bleeding too.",0
They dont show how hard it is for some of us and our families.,1
"If you want more info on Taxotere, Chemocare.com is an excellent site for info.",0
He said that he is worried about the primary cancer in her lung.,0
"Their suggestion is to walk around, take deep breathes and cough up what ever he can.",0
"Also, what type of clinical trials are they looking into?",0
I thought it was over when they told me that they had the whole thing.,1
I do have bone pain for about a week after.,0
Thank you Katheryn for your post and support.,0
"If you have any specific questions, please feel free to email!!",0
The doctors were saying she might have lupus.,0
"I appreciate your response, it makes me feels better.",0
"The biopsy showed its origin was my lungs, but there were no lung tumors to be found.",0
Your surgeon should give you exercises to do.,0
"Also, she's had terrible diarrhea and stomach cramping.",0
Presurgical MRI showed a spot deep in the left breast.,0
I wish you and your family lots of love and I'll pray for you.,2
"It was very large, in left lung, on lung, in lymph nodes, wrapped around aorta artery and pushing against my esophogus.",0
"Number one, do NOT listen to statistics.",0
Here is best site for your moms condition,0
Drugs that are most effective in killing the cultured cells are recommended for treatment.,0
i so wish he had left it in.,1
"1998 stage 1, left breast, this year stage 3 left breast.",0
"Glad the decisions are made, and you are on your way.",2
I hope this goes smooth for you and that all outcomes are great.,2
I am so scared that maybe my onc is wrong.,1
"I don't understand why they aren't doing a biopsy yet, that's what I would ask for.",0
All breast cancer patients are considered innocent victims while many people assume Lung Cancer patients caused their disease by smoking.,1
Thank you do much for the beautiful ornament.,0
Anyone else have this after radiation treatments were done?,0
"Happy Birthday to you, Happy Birthday to you, Happy Birthday, dear VickiSam, Happy Birthday to you.",0
A very touchy subject in deed and very interesting point.,0
He is also going to travel to Vanderbilt University where they have clinical trials for this exact type of cancer going on.,0
"I am Stage IV, non small cell lung cancer.",0
Was the first time I cried since this began in february.,1
My mother was diagnosed two months ago with adenocarcinoma in the left lung.,0
"My grandaughter is 16 and she is having a hard time dealing with my husband, her grandfather having lung cancer.",1
A person can sign on when they have 6 mos or less left of their life.,1
After I completed chemo I had 30 days of radiation to my chest area.,0
and just now thought of this: They will probably require a drug test (it's a local govt agency).,0
Positive thoughts and prayers and this site are getting me through this time.,0
"You are one strong person, that's for sure.",2
People prayed for me every hour of my surgeries and I found it so comforting !,0
Looks like I left Walnut Creek too soon!!!,0
I think I moped for 2 weeks after I heard you were having problems again.,0
"Happy Birthday to you, Happy Birthday to you, and many more!",0
I hope you can find comfort and peace while you are there.,2
I wish you a speedy time with chemo and hopefully you will feel fine!,2
It sounds very much like you are seeing the beginning.,0
But I know that this weight HAS to come off.,0
So far it has prevented getting mouth sores.,0
Hope it all goes quickly and easily for you.,2
"It is easy for someone to tell you not to fret over it, since nothing can be done until Monday, but that does not help!",1
Babe said it happened that way with her also.,0
"It's OK to lean on us, so that we can help to hold you up, support you.",2
"She said he's had the flu on and off for awhile now, and he is tired a lot.",1
"Furthermore, I hope you both find support in one another.",0
"To best answer your question if NSCLC can go to the colon, the answer is yes.",0
"He does not want to eat some special food at all, especially.",0
I just wanted to say that you are a very strong person.,2
"When we first found out it was cancer (just not what type)June 5th, I thought I would die.",1
"Others though, were led over to Satan who threw them into the burning pit.",0
May He bless you for being there for her.,2
"I would always try all means neccesary to escape a doctors prognosis, so yes Chemo is worth it.",0
"Not that Moopy could really refuse, being half sedated and flat on her back.",0
"from a 2 year survivor (well, at least I will be come August 2, 2008).",0
But that is something you will have to work out yourself.,2
he will start feeling better after the 4 days off rad.,0
Somehow I managed for the last 18 months with one year of chemo and radiation.,0
This little hospital here almost killed me when my appendix perforated last year.,1
I wish you to get through this procedure and be ready on Feb 25 as you plan.,2
He is diabetic and he doesn't like doctors either.,1
But it does give you time to prepare.,2
the foam rings don't sound like much fun.,1
Dr said the is a 40 percent chance for malignancy.,0
"we are quite shocked right now, so any help will do.",1
I'm still in limbo but feel good about my case being brought in fron of 8 other oncologist.,1
"And believe me, that tape left itchy spots when they removed it!",0
The tumor was small and growing very very slowly.,0
"I hope you feel BOTH, more at peace, and more calm!",2
"We are happy to announce that as early as tonight, a new Chat application is being launched on CSN.",0
"I will be praying for you, that God will help you through this time.",2
Your eyelashes do grow back quickly and usually very fast.,0
Today I find out that I have cancer cells in the fluid.,1
"So EXTREMELY happy for you, NED is someone we all want to have and hold on to good for you!",2
It must be very hard to be 22 years old and going,1
Some are fairly slow and double every 210 days.,0
There is absolutely no way I could have worked while receiving chemotherapy or radiation therapy.,1
"By the way, Biotene worked wonderfully for me.",0
"Two months later, I had ten radiation treatments (5 on, 2 off) and twelve weekly 1 1/2 hour chemo treatments.",0
Did they give you any pain med prescription before you left the hospital?,0
SO I posted a pic of me on my blog too!,0
I had to have taxatore and no nothing else about any other chemo or meds.,0
"I've been with her for 2 months, 24-7 and it's been overwhelming.",1
yes my neck face very dry very itchy like sandpaper use alot of moisterizer.,0
I am in remission from sclc but the great chance of it going to my brain concerns me.,1
"I have never had one so I can't relate to the confinement, noise etc.",0
I let my internist review all the lab work.,0
We also have a right to have joy!,2
I certainly hope they can help you without your having a mastectomy.,2
Now all I can do is wait for pathology reports.,0
The university teaching hospitals with cancer centers tend to be on the cutting edge.,0
I'm having a bleeding left eye during my IBRANCE treatment.,0
I also found peppermint and ginger was soothing.,0
The Dr told me that he couldn't tell on the PET Scan because the brain normally lights up with activity.,0
Give them only the information they need to know.,0
I have posted before but rarely get a response.,1
I used my old shirts and my husband's too.,0
Every once in a while you just have to scream!!!,1
Sometimes your own insurance company offers free second opinion services.,0
Anyone else I'd love to hear your input as well.,0
"We loved ice cream, so during the trip over the mountain(40 minutes!)",0
My husband was on alimta for several rounds.,0
What I really meant is that they talk *from* statistics (e.g.,0
"If cancer, won't it get bigger in 2 months?",0
"My husband, a family member or friend has been driving me which I so appreciate.",0
Sounds like they're gonna fix you up 'ol boy!,2
What stage is your Mom in and does she have cancer anywhere else?,0
WHY WOULD YOU BE IN A CANCER SURVIVORS NETWORK YACKING ABOUT SMOKERS....,0
It is so good to follow our hearts and make our own choices.,2
But my cancer also spread to my brain.,0
"Could I get spoiled YES, LOL Love to all of you",0
I have used this site to answer so many questions.,0
You will find lots of support & info here.,2
"My hubby is making the chili, so, YEH for that.",0
I hope that good news continues to come and I will keep you in my prayers that this is so.,2
sucking on ice also helps with mouth sores!,0
I am so sorry about your dad's diagnosis.,2
"Next Monday he has another CT but we do not get the results unti,l the following Monday.",0
The cancer is in her left lung and has spread to local chest lymph nodes.,0
"My dad would call me about storms as well, along with rain,snow etc.",0
"You have expressed so many of my exact thoughts, and everyone here is a part of my giant, warm, cuddly blanket.",2
Let us know when you are able how it all turned out.,2
You will be done before you know it.,2
I am currently 4 months since my last chemo and getting compliments on my hair just about daily.,1
Anyone else out there have a similar experience?,0
"I was ordered to have 33 treatments, after 22 my skin looked like I had walked through a fire.",1
Truly amazed with the generous nature of the people around me and pretty dissapointed with about everything else.,1
Reading your post will make my next hour a happy one!,0
Why did they do a lymph resection in her left arm?,0
I didn't know if you have a support group of bc survivors in your area or not.,0
"She also ""glued"" the opening together , no stitches or clamps.",0
"Your a very in tune with your body at a very young age, I wish I had been.",1
Reading helped me by letting me know that many folks learn to live with cancer.,1
"He has stopped it for 3 weeks, and then we can talk about it.",0
I had a mastectomy of the left breast and immediate reconstruction this past January.,0
It's a more active web site for lung cancer.,0
Many times we received denials and everytime it was due to a bad code used.,1
"This weekend I had the privilege of participating in a program called ""Casting for Recovery"".",0
he had tumors in both his right and left lung.,0
Keep on top of any side effects before they become too bothersome.,0
I love this site and I love everyone of you.,0
give her all the love and support u can.,2
"Hi, it was good to read all of your post.",0
It never got worse and is still about the same.,1
"But, if you are still worried, you need to go talk to your oncologist or get another or second opinion.",0
I sometimes can't sleep either thinking about my bc.,1
to hear that you and your Mother are going thru this.,2
"I've only known her for a year and a half since my hubby died, but just can't believe she's gone.",1
The only thing that is known right now is that the lung cancer is much more aggressive than the kidney.,0
"It has been hard, but well worth it.",1
"Then, the pain/numbing medicine ball with catheter finished and I was told to pull out the catheter, I'm expected a couple of inches.",0
Get it checked out and talk to the hospital social worker about getting help with medical costs.,0
I know what you mean by the funny looks I got from coworkers.,2
Hi I had the VATS lower left lobe lobectomy on Dec. 1/10.,0
"Dress warm and no zippers, the room where the scanner is has to be freezing cold.",0
"If you decide Not to visit, you will regret it later.",0
"If you got your hair back after chemo, and your hair is thinning, I imagine it's from lack of estrogen.",0
I am working half days and finally sleeping better.,0
Chemo doesn't get in there too well because of the loss of blood flow.,0
Many people will be drawn to you because of the special and loving person you are.,2
I took tamoxifen for complete 5 yrs (2 lumpectomies one time caner) I did have hystertomy due to the MED (3 yrs ago),0
"He requires almost constant care, and I'm doing this basically by myself.",1
I will be starting my chemo march 8.,0
of Radiation and the one who has treated me.,0
I am going to youtube it today.,0
In the mean time the waiting period is tourture.,1
Just received news of small cell lung cancer.,0
I am on Tarceva and am also interested in any discussion re this drug.,0
Yes my eyebrows came back very quickly,0
Sometimes I wish I would die as well.,1
"I hope all your dreams are coming true, and your are thriving in great health.",2
I told my plastic surgeon that I wanted 2 perky boobs.,0
Well I went to the surgeons this morning and he reoved my port.,0
I use a razor blade and love it.,0
She said she is not afraid to die.,1
I am newly diagnosed at the age of 43.,0
Had Pet-scan last tuesday which also confirmed the left lung but hidden is a small nodule on my right lung.,0
They put in a chest catheter and have drained over 5 liters of fluid over the last few days.,0
When you love someone you feel their every blink.,1
"She raised a wonderful daughter, please remember the good times that make you smile, she will forever live in your heart!",2
My wife lost her battle this week so I understand your loss.,2
He most recently had this CEA test also.,0
It is located in the lower lobe of my right lung.,0
That's because it is not definitive due to the odd test results.,0
"And yet, when I think I am being helpful and perhaps even poignant, when I hit ""submit"", presto-bingo, it disappears altogether!",0
"But if I needed one during the day, I took it.",0
I hate that at the tender age of 46 you have experienced all that.,2
He has been running a low grade temp (99 - 100) off and on.,0
"His doctor said his lungs are clear, but his pressure is a little low and his blood levels are low.",0
"I'm 48, was diagnosis DCIS in May in my right breast and had a double mastectomy in June.",0
They manage side effects or secondary conditions as they arise.,0
I can't sleep and my mom noticed my weight loss.,1
Hope you had a wonderful & blessed day full of Love and Joy.,2
I healed very well and no infection after four surgeries.,0
